model,split,eval_set,log_loss,accuracy,auc,brier,apre,contested_log_loss,contested_accuracy,contested_n,n,fit_seconds,git_rev,run_utc
constant_rate,regimeA_seed42,val,0.6551809614867465,0.6369034084208044,0.5,0.2312583266734074,-0.3194622542532109,0.7270544239694195,0.5099150092061692,571356,1059875,0.0,none,20260611T233950Z
constant_rate,regimeA_seed42,test,0.6552458189766187,0.6367888160729268,0.5,0.2312899165976888,-0.319803890601718,0.7272950932608467,0.5094897867804962,569507,1058376,0.0,none,20260611T233950Z
member_rate,regimeA_seed42,val,0.6301917880608481,0.6483368321736054,0.62966637279379,0.2199245235000212,-0.2779141609122889,0.693686809289253,0.5518870896603869,571356,1059875,0.7,none,20260611T233950Z
member_rate,regimeA_seed42,test,0.629419965491148,0.649016039668322,0.6316093439803515,0.2195860829334255,-0.2753737133754025,0.6930832933692357,0.5524848684915199,569507,1058376,0.7,none,20260611T233950Z
party_rollcall_rate,regimeA_seed42,val,0.2064750673222975,0.9163052246727208,0.9725485528876132,0.0611585580995882,0.6958602766215688,0.1991930794160734,0.9274550367896724,571356,1059875,0.8,none,20260611T233950Z
party_rollcall_rate,regimeA_seed42,test,0.2063382538729074,0.9165466715042668,0.9725650206983316,0.0610554392945647,0.696754856385572,0.198767976220188,0.9277936882250788,569507,1058376,0.8,none,20260611T233950Z
nominate_logit,regimeA_seed42,val,0.1635273519629679,0.9333883712701968,0.9820315557266456,0.0485224187477674,0.7579389841666038,0.1547381805695405,0.9387107162609652,571356,1059875,17.1,none,20260611T234841Z
nominate_logit,regimeA_seed42,test,0.1638958921899936,0.9332590686107772,0.981963419476572,0.0485734320342932,0.7574828507275136,0.1551692408263068,0.9385749428892006,569507,1058376,17.1,none,20260611T234841Z
ideal_point_1d,regimeA_seed42,val,0.1928295790263524,0.9152843495695248,0.9753720416964774,0.0590314033502083,0.6921505029794762,0.1949118032042783,0.911937566070891,571356,1059875,16.1,none,20260611T234841Z
ideal_point_1d,regimeA_seed42,test,0.1927750833358434,0.9155725375480924,0.975418514815746,0.0588940231586068,0.6932151366791868,0.1949884720977501,0.9123944042830028,569507,1058376,16.1,none,20260611T234841Z
ideal_point_2d,regimeA_seed42,val,0.1606027450475101,0.9331270196957188,0.9829146831048324,0.0482527372432744,0.7569892546852178,0.1525062494063724,0.9386232051470536,571356,1059875,15.8,none,20260611T234841Z
ideal_point_2d,regimeA_seed42,test,0.1609969240085053,0.9332137161084528,0.9828405127677138,0.0482694164727088,0.7573180529138314,0.1530924949980486,0.9383326280449582,569507,1058376,15.8,none,20260611T234841Z
ideal_point_8d,regimeA_seed42,val,0.1532041967414872,0.9376983134803633,0.9846415224007656,0.0454652656328717,0.7736009490437561,0.1455969859897404,0.9431790337372846,571356,1059875,15.1,none,20260611T234841Z
ideal_point_8d,regimeA_seed42,test,0.1534358491988705,0.9377867600928216,0.9846220041798036,0.0454205860527786,0.7739351657934671,0.1463177218079361,0.9429243187528864,569507,1058376,15.1,none,20260611T234841Z
constant_rate,forecast108_119,val,0.6688483638806062,0.611308738844875,0.5,0.2379340208750172,-0.2419418437244958,,,0,696877,0.0,none,20260612T000331Z
constant_rate,forecast108_119,test,0.6173753874180397,0.7085722657978302,0.5,0.212781830990989,-0.1058535994627503,,,0,689351,0.0,none,20260612T000331Z
member_rate,forecast108_119,val,0.6232697974050199,0.6499697938086635,0.6786835855751553,0.2169126248197309,-0.1184124859010921,,,0,696877,0.4,none,20260612T000331Z
member_rate,forecast108_119,test,0.5874480853171048,0.6935392855018706,0.65282734289059,0.200552605496054,-0.1628978454966807,,,0,689351,0.4,none,20260612T000331Z
party_congress_rate,forecast108_119,val,0.6258276738386984,0.6440777927812225,0.6748861145575529,0.2180626895426057,-0.1372385397657976,,,0,696877,0.3,none,20260612T000331Z
party_congress_rate,forecast108_119,test,0.5889571335668944,0.6855781742537547,0.6514832187243513,0.2012252702681326,-0.1931071306683694,,,0,689351,0.3,none,20260612T000331Z
party_question_rate,forecast108_119,val,0.520757209253864,0.6999025653020547,0.7837267536697492,0.1793730668410787,0.0411321308378648,,,0,696877,24.1,none,20260612T000331Z
party_question_rate,forecast108_119,test,0.4662006596161917,0.7658159631305387,0.8046911203593898,0.1564989612278146,0.1113637114264639,,,0,689351,24.1,none,20260612T000331Z
member_question_rate,forecast108_119,val,0.5114764215825315,0.7018182548713762,0.7929981198965292,0.1758665797288077,0.0472531200997698,,,0,696877,23.9,none,20260612T000331Z
member_question_rate,forecast108_119,test,0.4586276946941757,0.7595724094111708,0.8117654040453273,0.1546526740045148,0.0876718813647022,,,0,689351,23.9,none,20260612T000331Z
constant_rate,forecast108_119,val,0.6688483638806062,0.611308738844875,0.5,0.2379340208750172,-0.2419418437244958,0.7245608636450406,0.506034192959708,416460,696877,0.0,none,20260612T000552Z
constant_rate,forecast108_119,test,0.6173753874180397,0.7085722657978302,0.5,0.212781830990989,-0.1058535994627503,0.7132807458871381,0.5273491452507642,353320,689351,0.0,none,20260612T000552Z
member_rate,forecast108_119,val,0.6232697974050199,0.6499697938086635,0.6786835855751553,0.2169126248197309,-0.1184124859010921,0.6713068332055657,0.5821735580848101,416460,696877,0.4,none,20260612T000552Z
member_rate,forecast108_119,test,0.5874480853171048,0.6935392855018706,0.65282734289059,0.200552605496054,-0.1628978454966807,0.6574192377974014,0.587733499377335,353320,689351,0.4,none,20260612T000552Z
party_congress_rate,forecast108_119,val,0.6258276738386984,0.6440777927812225,0.6748861145575529,0.2180626895426057,-0.1372385397657976,0.6722595216540629,0.57695336887096,416460,696877,0.3,none,20260612T000552Z
party_congress_rate,forecast108_119,test,0.5889571335668944,0.6855781742537547,0.6514832187243513,0.2012252702681326,-0.1931071306683694,0.6570487736712147,0.5882882372919733,353320,689351,0.3,none,20260612T000552Z
party_question_rate,forecast108_119,val,0.520757209253864,0.6999025653020547,0.7837267536697492,0.1793730668410787,0.0411321308378648,0.5735967609663188,0.653969168707679,416460,696877,24.0,none,20260612T000552Z
party_question_rate,forecast108_119,test,0.4662006596161917,0.7658159631305387,0.8046911203593898,0.1564989612278146,0.1113637114264639,0.5316342142162704,0.6976451941582701,353320,689351,24.0,none,20260612T000552Z
member_question_rate,forecast108_119,val,0.5114764215825315,0.7018182548713762,0.7929981198965292,0.1758665797288077,0.0472531200997698,0.5673002168002458,0.6540508092013638,416460,696877,24.2,none,20260612T000552Z
member_question_rate,forecast108_119,test,0.4586276946941757,0.7595724094111708,0.8117654040453273,0.1546526740045148,0.0876718813647022,0.5271542300972818,0.6924148081059662,353320,689351,24.2,none,20260612T000552Z
meta_tower_8d,forecast108_119,val,0.5614224587569496,0.680818853255309,0.7503491590344435,0.1935141906024514,-0.0198439262363481,0.6592785272009787,0.5959611967535898,416460,696877,18.1,none,20260612T004450Z
meta_tower_8d,forecast108_119,test,0.5113235024955349,0.7234340705968367,0.7596750384983976,0.1719135391753333,-0.04945889709687,0.6503076180065864,0.6070615872297068,353320,689351,18.1,none,20260612T004450Z
text_tower_8d,forecast108_119,val,0.5443730475597329,0.7163416212617147,0.7832617764743637,0.184955503889594,0.0936580132231708,0.6345288957647685,0.6598088651971378,416460,696877,25.1,none,20260612T004450Z
text_tower_8d,forecast108_119,test,0.4642011128315648,0.7784698941468134,0.8131919306244387,0.1526693566259317,0.1593804013959684,0.5907535445302842,0.6941073248047096,353320,689351,25.1,none,20260612T004450Z
text_tower_mq_8d,forecast108_119,val,0.487047974936771,0.7408796674305509,0.8270120848527899,0.1648197933522434,0.1720616959037514,0.5410096964591692,0.7022787302502042,416460,696877,78.2,none,20260612T005136Z
text_tower_mq_8d,forecast108_119,test,0.410543384048195,0.800761876025421,0.860494041193819,0.1340559662069831,0.2439697026411106,0.477844817960053,0.7499179214309974,353320,689351,78.2,none,20260612T005136Z
emb_tower_mq_8d,forecast108_119,val,0.4952601922906718,0.7409141067935948,0.8263934238128978,0.1664646700046919,0.1721717361601452,0.5447855286367383,0.7113792441050761,416460,696877,70.1,none,20260612T005404Z
emb_tower_mq_8d,forecast108_119,test,0.4354304122577759,0.789896583888324,0.8498535389443541,0.1417804542347462,0.2027401935419946,0.4882737341118593,0.7591701573644288,353320,689351,70.1,none,20260612T005404Z
embtfidf_tower_mq_8d,forecast108_119,val,0.5062477182493335,0.7373309780635607,0.8215539833108426,0.1701412156772674,0.1607229644845072,0.5566799282727927,0.7072756087019162,416460,696877,78.2,none,20260612T005404Z
embtfidf_tower_mq_8d,forecast108_119,test,0.4331249242454377,0.7929443781179689,0.8548839454151177,0.1398375806635122,0.2143053735977012,0.4909922946838823,0.7593428053888825,353320,689351,78.2,none,20260612T005404Z
emb2_tower_mq_8d,forecast108_119,val,0.4850247159155967,0.7485266409997747,0.8355821287690582,0.162355596152967,0.1964952178338575,0.536276648050563,0.7136003457715027,416460,696877,75.9,none,20260612T024957Z
emb2_tower_mq_8d,forecast108_119,test,0.4234218176535844,0.8053865157227595,0.8631185589273529,0.1351194542617969,0.2615183908931776,0.4900561294264094,0.7679242612928789,353320,689351,75.9,none,20260612T024957Z
emb2_tower_mq_16d,forecast108_119,val,0.4881261873238641,0.7478651182346383,0.8349422725981224,0.1630460828573016,0.19438152790896,0.539255404551023,0.7136531719732988,416460,696877,73.4,none,20260612T024957Z
emb2_tower_mq_16d,forecast108_119,test,0.4235951164855909,0.8068980823992422,0.8640080235683913,0.1346779563192754,0.2672541917585018,0.4888956952179403,0.7703554851126457,353320,689351,73.4,none,20260612T024957Z
emb2_mlp_mq_16d,forecast108_119,val,0.6424412118689568,0.7686951929824057,0.8509705723108824,0.1665469936968646,0.2609375429844751,0.6755923890081413,0.7543029342553906,416460,696877,112.3,none,20260612T024957Z
emb2_mlp_mq_16d,forecast108_119,test,0.6445356354972861,0.8202671788392271,0.8746562491020972,0.1409470812610199,0.3179846531546905,0.6298558557818464,0.8137382542737461,353320,689351,112.3,none,20260612T024957Z
emb2tfidf_tower_mq_16d,forecast108_119,val,0.4990931515362233,0.7489083439401788,0.8324432124703833,0.1658338802727217,0.1977148306755554,0.5504177646881594,0.7173173894251549,416460,696877,86.3,none,20260612T024957Z
emb2tfidf_tower_mq_16d,forecast108_119,test,0.4173311076478833,0.8125671827559545,0.8704507521181605,0.1313835266693325,0.2887661973071461,0.4828353237563207,0.7755858711649496,353320,689351,86.3,none,20260612T024957Z
emb2_mlp_mq_16d_tcal,forecast108_119,val,0.4277329800198243,0.7816960525315084,0.873650811651177,0.1404679543339021,0.3024777397731337,0.444585604071337,0.773476444316381,416460,696877,70.9,none,20260612T025750Z
emb2_mlp_mq_16d_tcal,forecast108_119,test,0.3491836029103148,0.8522276750160659,0.905587799141854,0.1075846017060645,0.4392621624299538,0.3772635014447477,0.840702479338843,353320,689351,70.9,none,20260612T025750Z
emb2tfidf_mq_16d_tcal,forecast108_119,val,0.4770731516414893,0.7488825144178959,0.8338103111336707,0.1610299905038646,0.1976323004832601,0.5272545450933054,0.7175431013782836,416460,696877,71.3,none,20260612T025750Z
emb2tfidf_mq_16d_tcal,forecast108_119,test,0.3934170094623054,0.817847511645011,0.8763003142722764,0.1266828920632346,0.3088029680842865,0.4622443956697619,0.7764491112872184,353320,689351,71.3,none,20260612T025750Z
member_question_rate,congressout118,val,0.633004070666079,0.6752807693284791,0.5,0.2204684931954363,-0.0580186306533463,0.7246499773112901,0.5169031372222684,288408,511719,24.9,none,20260612T031930Z
member_question_rate,congressout118,test,0.6932134390667254,0.5712301079626535,0.5,0.2497603598365005,-0.2242450392496237,0.7353589260323963,0.4983964957051341,380105,582331,24.9,none,20260612T031930Z
party_question_rate,congressout118,val,0.633004070666079,0.6752807693284791,0.5,0.2204684931954363,-0.0580186306533463,0.7246499773112901,0.5169031372222684,288408,511719,24.9,none,20260612T031930Z
party_question_rate,congressout118,test,0.6932134390667254,0.5712301079626535,0.5,0.2497603598365005,-0.2242450392496237,0.7353589260323963,0.4983964957051341,380105,582331,24.9,none,20260612T031930Z
emb2_mlp_mq_16d_tcal,congressout118,val,0.6047457929962339,0.6489635913460317,0.6522688870922081,0.2110193324018865,-0.1437667538983655,0.7672501340226636,0.4902637929599733,288408,511719,71.4,none,20260612T031930Z
emb2_mlp_mq_16d_tcal,congressout118,test,0.670318006832475,0.6159761372827481,0.64790698450808,0.236058748693221,-0.0964839593824006,0.7365554683936375,0.5639836361005511,380105,582331,71.4,none,20260612T031930Z
emb2_mlp_mq_16d_tcal,forecast108_119,val,0.4271746295485665,0.7817649312575964,0.8739444246396795,0.1402743484337994,0.3026978202859213,0.4434402393923586,0.7735172645632233,416460,696877,70.0,none,20260612T032203Z
emb2_mlp_mq_16d_tcal,forecast108_119,test,0.3489747439639618,0.8521870571015346,0.905690531003716,0.1075209791264851,0.4391080334239758,0.3775492315316117,0.8401477414242047,353320,689351,70.0,none,20260612T032203Z
